Food Item,Calories,Protein (g),Carbs (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (mcg),Vitamin B12 (mcg),Folate (B9) (mcg),Vitamin B6 (mg),Niacin (B3) (mg),Pantothenic Acid (B5) (mg),Riboflavin (B2) (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Copper (mg),Phosphorus (mg),Manganese (mg),Selenium (mcg),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Omega-3 Fatty Acids (g),Omega-6 Fatty Acids (g),Cholesterol (mg),Glycemic Index,Water Content (g),Serving Size (g or cups),Net Carbs (g),Complex Carbs (g),Simple Carbs (g),Antioxidants (mg),Flavonoids (mg),Carotenoids (mg),Caffeine (mg),Acidity (pH),Allergen Information,Dietary Labels,Energy Density (kcal/g)
Apple (1 medium),95,0.5,25.0,0.3,4.4,19.0,2,960,39,411,3.211367519694872,91,1.163716089338192,128,1.5281638415323706,9.18876958048662,0.5902069978965412,0.5039603992805924,457,3.5088126592395525,182.4259539365299,356,2.0032729954050286,0.4533301257104504,224,1.6165840545645218,69,7.186953871475389,2.134493322446093,5.763088198890566,4.948464338932611,5.201794018985208,134,Medium,224,150,17,26,-9,282,53,83,271,3.6883764932935224,Shellfish-Free,Paleo,0.6029820557727765
Banana (1 medium),105,1.3,27.0,0.3,3.1,14.0,1,3872,153,608,10.742587654363234,103,1.6429738210051998,116,2.0587303406702393,6.475125934795075,3.1215600914666504,0.1645901196949492,100,2.952502592755544,104.0870883528619,823,2.092335433392979,1.8280985627884263,490,0.48539750875329246,63,5.4711131973828095,9.346053880772532,4.842604294466128,0.6696374658282744,2.171535498351874,17,High,347,1,32,19,13,27,95,38,70,5.7642026108831175,Nut-Free,Keto-Friendly,1.883385047958384
Chicken Breast (100g),165,31.0,0.0,3.6,0.0,0.0,74,3192,177,940,12.105658906135561,57,2.925217216681073,392,1.544993617781177,12.47448842958232,3.6447515170071476,2.6204526814150007,62,0.8585995111906172,227.18308407563566,665,6.787960269658553,1.6729537210617302,175,0.6798220538861283,82,4.467811630313781,7.96600456498377,8.459593654230126,3.8026699400484754,7.434986191164329,53,Low,840,1,40,20,20,177,62,89,67,5.254146144926292,Soy-Free,Vegan,1.6582109873235853
Broccoli (1 cup),55,3.7,11.2,0.6,5.1,2.2,64,566,28,190,5.434663478945374,147,2.9708708322469204,462,1.7820497152707093,1.9422766561816363,4.342396970863415,1.7069732770103234,227,6.040354037888937,144.40095741494042,786,5.729088685497645,0.410919498523055,268,1.0400760025999582,40,8.097840267383138,0.5566614605619913,6.445251356703602,4.679063792413633,0.4306742630609717,126,High,414,1,25,19,6,328,93,175,179,3.5898996256045805,Dairy-Free,Low Carb,1.518819242739201
Almonds (28g),160,6.0,6.0,14.0,3.5,1.2,0,4526,27,936,13.000509597982541,91,1.6538332279363046,83,2.072663310790081,2.7989388195911062,1.1307444502222865,1.8652965323168273,357,2.684633446309825,118.09361833742344,199,1.6598115056867107,1.7552236307258477,327,0.4543914765570657,31,2.43495259185182,9.989429619805177,8.013122648554727,2.558974971377093,8.315546881815777,24,Medium,135,100,14,18,-4,91,77,111,173,5.755515696123746,Nut-Free,Vegetarian,1.4955908313000825
Oats (1/2 cup),154,6.0,27.0,3.0,4.0,1.0,0,3544,10,967,13.68600556672073,47,1.8773720698600427,146,1.3102161091757134,1.6242772570675306,2.948824170395608,2.7882665769716066,86,1.9072722591556395,165.20146075837724,138,1.5706296741640893,0.6172703191038954,534,1.8647851676322058,77,8.831759706143231,6.949266964401023,7.863639366024132,0.012608808514100178,8.380922267069515,62,High,626,100,16,23,-7,84,74,178,168,3.569395882620679,Gluten-Free,Keto-Friendly,3.1850382698793864
Eggs (2 large),140,12.5,1.0,9.5,0.0,1.0,140,3271,87,167,4.876662823289325,136,1.4098576725478487,218,0.5054162996409042,10.484226831990572,0.5360366330320229,2.0288485165294854,213,6.711384656362938,238.67292357980156,362,1.1869504603415189,0.25365251708100145,644,1.223534433865422,59,5.610487353667038,1.6026659904058693,1.910451606552953,1.8752947205655313,8.328660124035029,114,High,138,200,31,26,5,438,65,42,260,4.593742316438725,Nut-Free,Vegan,0.5569284506252121
Salmon (100g),206,22.0,0.0,13.0,0.0,0.0,50,3019,124,326,14.769300618013109,28,3.297664635257936,218,2.199892991890377,12.411525954556469,0.9279214146982826,2.103475162585459,53,6.971487949304714,200.6925506612093,249,7.565789800048669,1.347962382376999,190,0.33028622700621607,74,6.091748793796582,2.3716768129859647,6.501635325176437,0.5578449619241355,1.5256852673266985,140,Low,103,150,7,36,-29,469,30,102,124,4.234239698098081,Nut-Free,Keto-Friendly,2.824749162140415
Avocado (1 medium),234,3.0,12.0,21.0,10.0,0.2,11,230,184,775,2.9699613926826176,173,0.8559312972247409,200,1.2617807252493252,2.187115465798596,0.7439528489269688,2.3822090804665526,165,7.645471476447827,19.603151328429842,732,7.262879809678247,1.3422288528302282,656,0.4496567428966779,99,8.750589641689428,6.924454812415469,1.9964801918133412,2.0809383046684786,6.304065185610449,50,Low,679,200,32,38,-6,344,43,121,130,5.760039810747831,Shellfish-Free,Vegan,1.258799536417825
Sweet Potato (1 medium),112,2.0,26.0,0.1,4.0,5.0,41,1785,122,269,3.8282193576348593,196,3.30124826900441,120,1.4920854520331661,14.703264882479415,3.7646511530696913,0.4374105045864709,11,5.283980515216619,89.75437857759032,789,1.0550944131184639,0.28037081817467435,159,1.9132751561172046,85,8.17582687849336,7.79761055279122,5.833204782437709,3.9501338082114232,0.14367359183389605,27,High,410,150,6,29,-23,355,62,132,233,6.129449426426609,Dairy-Free,Vegetarian,1.6498865324527245
